treatment,control,rep,gene,lfc,fdr,p_value,day,lfc.fitness,fdr.fitness
heavy,mono,rep1,LSM4,0.21484,0.076475,0.025647,day13,-5.9511,0.011957
heavy,mono,rep1,LSM4,0.21484,0.076475,0.025647,day7,-2.1676,0.006688
heavy,mono,rep1,OLA1,0.10863,0.07686,0.026014,day13,0.81485,NA
heavy,mono,rep1,OLA1,0.10863,0.07686,0.026014,day7,0.49099,0.268353
heavy,mono,rep1,EEF1A2,0.17089,0.07686,0.026245,day13,1.2127,0.092457
heavy,mono,rep1,EEF1A2,0.17089,0.07686,0.026245,day7,0.31106,0.28396
heavy,mono,rep1,LRRFIP1,0.13423,0.079611,0.027427,day13,1.6612,0.022493
heavy,mono,rep1,LRRFIP1,0.13423,0.079611,0.027427,day7,0.49114,0.121317
heavy,mono,rep1,PRPF40A,0.26001,0.080646,0.028029,day13,-1.7342,0.079589
heavy,mono,rep1,PRPF40A,0.26001,0.080646,0.028029,day7,-0.29842,NA
heavy,mono,rep1,LARP7,0.11704,1,0.028269,day13,6.6664e-4,NA
heavy,mono,rep1,LARP7,0.11704,1,0.028269,day7,-0.10479,NA
heavy,mono,rep1,SNRNP40,0.15031,0.082089,0.028781,day13,-2.2942,0.054595
heavy,mono,rep1,SNRNP40,0.15031,0.082089,0.028781,day7,-0.28056,NA
heavy,mono,rep1,TDRD6,0.21792,0.082278,0.029098,day13,1.0373000000000001,NA
heavy,mono,rep1,TDRD6,0.21792,0.082278,0.029098,day7,0.90097,0.108083
heavy,mono,rep1,ADAT1,0.080742,0.083777,0.030367,day13,0.93267,NA
heavy,mono,rep1,ADAT1,0.080742,0.083777,0.030367,day7,0.19649,NA
heavy,mono,rep1,SCAF8,0.11029,0.083777,0.030616,day13,1.5258,0.046398
heavy,mono,rep1,SCAF8,0.11029,0.083777,0.030616,day7,0.67176,0.13909
heavy,mono,rep1,PDAP1,0.31646,0.083777,0.030905,day13,-1.4537,NA
heavy,mono,rep1,PDAP1,0.31646,0.083777,0.030905,day7,-0.89861,NA
heavy,mono,rep1,NCBP2,0.30947,0.076475,0.025366,day13,-2.8005,0.081111
heavy,mono,rep1,NCBP2,0.30947,0.076475,0.025366,day7,-0.47944,NA
heavy,mono,rep1,ILF3,0.26873,0.083777,0.03125,day13,-1.0355,NA
heavy,mono,rep1,ILF3,0.26873,0.083777,0.03125,day7,0.32319,NA
heavy,mono,rep1,RNASE11,0.1766,0.083777,0.031444,day13,0.79114,NA
heavy,mono,rep1,RNASE11,0.1766,0.083777,0.031444,day7,0.41999,0.150573
heavy,mono,rep1,RBMXL1,0.24163,0.083777,0.031734,day13,0.63292,NA
heavy,mono,rep1,RBMXL1,0.24163,0.083777,0.031734,day7,0.55464,0.170552
heavy,mono,rep1,ZFR2,0.18145,0.083777,0.03182,day13,0.24761,NA
heavy,mono,rep1,ZFR2,0.18145,0.083777,0.03182,day7,0.074004,NA
heavy,mono,rep1,THOC3,0.13561,0.083777,0.032106,day13,-2.3271,0.168182
heavy,mono,rep1,THOC3,0.13561,0.083777,0.032106,day7,0.31015,0.324837
heavy,mono,rep1,DCP1B,0.10011,0.083777,0.032183,day13,0.90198,NA
heavy,mono,rep1,DCP1B,0.10011,0.083777,0.032183,day7,0.24865,NA
heavy,mono,rep1,NXF3,0.15134,0.083843,0.032464,day13,0.45501,NA
heavy,mono,rep1,NXF3,0.15134,0.083843,0.032464,day7,-0.070629,NA
heavy,mono,rep1,ZRANB2,0.11003,0.084017,0.033043,day13,0.4292,NA
heavy,mono,rep1,ZRANB2,0.11003,0.084017,0.033043,day7,0.19337,NA
heavy,mono,rep1,ST13,0.11856,1,0.033066,day13,0.60674,NA
heavy,mono,rep1,ST13,0.11856,1,0.033066,day7,0.14636,NA
heavy,mono,rep1,PAFAH1B3,0.12571,0.085565,0.033913,day13,1.0192,NA
heavy,mono,rep1,PAFAH1B3,0.12571,0.085565,0.033913,day7,0.32891,NA
heavy,mono,rep1,TDRD10,0.14214,0.087089,0.034783,day13,0.72704,NA
heavy,mono,rep1,TDRD10,0.14214,0.087089,0.034783,day7,0.26019,NA
heavy,mono,rep1,SNRNP35,0.18489,0.08724,0.035109,day13,-4.4247,0.037733
heavy,mono,rep1,SNRNP35,0.18489,0.08724,0.035109,day7,-0.12099,NA
heavy,mono,rep1,SNRPF,0.31143,0.082514,0.029433,day13,-6.0354,0.015528
heavy,mono,rep1,SNRPF,0.31143,0.082514,0.029433,day7,-2.6286,0.01337
heavy,mono,rep1,EEF1A1,0.31051,0.087935,0.035657,day13,-5.8828,0.007984
heavy,mono,rep1,EEF1A1,0.31051,0.087935,0.035657,day7,-1.6609,0.008167
heavy,mono,rep1,TFB1M,0.17488,0.08794,0.035938,day13,-1.016,NA
heavy,mono,rep1,TFB1M,0.17488,0.08794,0.035938,day7,0.082463,NA
heavy,mono,rep1,CCNT2,0.17162,0.08794,0.036418,day13,0.81537,NA
heavy,mono,rep1,CCNT2,0.17162,0.08794,0.036418,day7,0.31077,0.150573
heavy,mono,rep1,MRPL34,0.21353,0.08794,0.036463,day13,-2.9401,0.072923
heavy,mono,rep1,MRPL34,0.21353,0.08794,0.036463,day7,-0.64045,0.179643
heavy,mono,rep1,SEPTIN11,0.16936,0.088409,0.037034,day13,0.34791,NA
heavy,mono,rep1,SEPTIN11,0.16936,0.088409,0.037034,day7,-0.14588,NA
heavy,mono,rep1,VARS2,0.16613,0.088409,0.037197,day13,-1.1985,NA
heavy,mono,rep1,VARS2,0.16613,0.088409,0.037197,day7,0.068452,NA
heavy,mono,rep1,RBFOX3,0.17685,0.088906,0.037677,day13,1.633,0.022493
heavy,mono,rep1,RBFOX3,0.17685,0.088906,0.037677,day7,0.6522,0.057467
heavy,mono,rep1,DNAJA1,0.1327,1,0.038157,day13,-0.77556,0.358876
heavy,mono,rep1,DNAJA1,0.1327,1,0.038157,day7,-0.57191,NA
heavy,mono,rep1,SF3B3,0.25259,0.084017,0.033007,day13,-5.8956,NA
heavy,mono,rep1,SF3B3,0.25259,0.084017,0.033007,day7,-3.6178,0.014449
heavy,mono,rep1,METTL1,0.12773,0.089698,0.038397,day13,1.1675,0.122274
heavy,mono,rep1,METTL1,0.12773,0.089698,0.038397,day7,0.8862,0.084718
heavy,mono,rep1,PATL1,-0.0027978,1,0.52218,day13,1.1203,0.127647
heavy,mono,rep1,PATL1,-0.0027978,1,0.52218,day7,0.43529,0.230006
heavy,mono,rep1,RNASET2,0.151,0.089698,0.038868,day13,1.7254,0.034554
heavy,mono,rep1,RNASET2,0.151,0.089698,0.038868,day7,0.76456,0.149259
