Position,AbsA,Fraction,sample,MonoAbsA,M,P,PbyM
25.49,0.10844785157330089,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
25.59,0.10478764585522311,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
25.68,0.10123804125421665,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
25.78,0.09811010341204446,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
25.88,0.09629209755018525,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
25.98,0.09153970580102859,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
26.08,0.08869863960626001,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
26.18,0.08603038765691531,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
26.27,0.08121578277940605,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
26.38,0.07813623292595255,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
26.47,0.07595531714870318,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
26.57,0.07246446939114083,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
26.67,0.06782959132887242,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
26.77,0.06611873029917599,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
26.87,0.06328457667422438,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
26.97,0.06151495880108387,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
27.06,0.05919579162749544,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
27.17,0.05592960238898413,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
27.26,0.05281203340153736,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
27.36,0.05134656860034284,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
27.46,0.048291212741248674,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
27.56,0.04528770115578168,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
27.66,0.0433383564674003,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
