type,day,gene,A,B
grna,day 21,LSM12,-0.53134,-1.1311
total,day 21,MTRF1L,0.22826,-1.4664
grna,day 5,APOBEC1,-0.16809,-0.78861
total,day 5,MRPS30,-0.35866,0.25291
grna,day 13,PABPC1L2B,-0.87499,0.55305
total,day 13,DYNLL1,0.58574,-1.0317
grna,day 5,FLUC,-0.20107,1.129
total,day 5,PABPN1,-0.048704,-0.10588
total,day 13,MCAT,-0.45118,-0.39599
total,day 5,CELF1,0.069503,-0.029404
grna,day 13,SPTAN1,1.3032,1.1126
total,day 13,CLASRP,-0.59346,0.0026531
grna,day 5,MAP1B,-0.34003,0.39452
grna,day 5,MRPS36,-0.69241,0.13677
grna,day 13,LSM11,0.24469,-0.536
total,day 13,REXO2,-0.52630999999999994,-0.54481
total,day 21,C1D,0.33495,-1.1317
grna,day 5,ZC3HC1,-0.075327,0.59373
total,day 5,APOBEC4,-0.17772,0.091093
grna,day 5,PNISR,-0.14975,-0.19127
total,day 5,PC,0.48579,-0.10125
grna,day 13,GTPBP10,-1.1228,0.52652
total,day 21,THRAP3,1.4347,-1.2717
grna,day 5,EXOSC6,-0.27814,0.37809
total,day 5,SRP9,-0.12784,0.17862
grna,day 13,INTS9,0.073072,-0.56141
grna,day 21,RPS14,-1.1409,-1.7574
total,day 21,RRP15,0.39777,-2.1244
total,day 5,MPHOSPH6,-0.43031,-0.1939
total,day 13,PPRC1,-0.64312,-1.0393
grna,day 5,UNK,0.824,-0.20191
grna,day 13,DUS3L,-0.45107,1.3134
total,day 13,PAN3,1.3373,-1.1586
grna,day 5,RTCA,-0.245,-0.2512
total,day 5,NOA1,0.25663,-0.10491
total,day 13,HABP4,0.93394,-0.92469
grna,day 21,ZMAT2,-1.2036,-0.23273
total,day 21,ZMAT5,-0.80313,0.23476
grna,day 5,POU5F1,-0.51902,0.37306
grna,day 13,HTATSF1,-1.0889,1.1515
total,day 13,U2AF1L4,-0.67119,0.86491
total,day 21,RBM28,0.079105,-1.3104
grna,day 5,MEX3C,0.53985,0.56952
total,day 5,ZC3H12A,0.2521,-0.030001
grna,day 13,EPPK1,-0.24646,2.1255
total,day 21,PDE12,-1.6345,1.2201
grna,day 5,RBM5,-0.73551,-0.97012
total,day 5,MRPS26,-0.20494,0.4611
grna,day 13,IREB2,1.2209,0.95171
total,day 21,SUMO2,-1.2365,-0.98271
grna,day 5,BRD2,0.2095,-0.48504
total,day 5,R3HCC1,0.161,0.37885
grna,day 13,SRP19,0.10377,-0.44744
total,day 13,SMAD1,-0.73234,0.57207
grna,day 21,DHX40,-0.93316,-0.38516
total,day 21,USP36,-1.1304,-0.67267
grna,day 5,TNRC6A,-0.32965,0.64752
total,day 13,ASH1L,1.5718,-0.81762
grna,day 5,TFAM,-0.47055,1.3226
total,day 5,MRPL58,0.034713,-0.24952
grna,day 13,DDX39B,-0.60363,0.64883
total,day 13,PDE12,-1.0851,0.9161
total,day 21,SKIC8,-1.2279,-1.2922
grna,day 5,DHX30,-0.17025,1.4935
total,day 5,FAM98C,0.51297,-0.20359
grna,day 13,MRPS9,-0.44876,0.47348
total,day 21,SSR1,0.60187,-0.34027
total,day 5,CSRP1,0.02728,0.23619
grna,day 13,RBM6,-0.8864,0.99135
total,day 13,CSTF2T,-0.80587,0.042807
grna,day 21,RNASEH2C,-0.86418,-0.057559
grna,day 5,PPIG,0.98384,-0.43894
total,day 5,EDC3,0.38738,0.38021
grna,day 13,ALKBH3,-0.48844,0.21157
total,day 13,TFB1M,-0.99454,-0.43887
total,day 21,GCN1,-1.4007,-0.39458
total,day 5,DIDO1,0.072895,-0.058366
total,day 13,TARDBP,-0.81485,-0.88625
total,day 5,TENT4B,0.31211,0.26843
total,day 13,SLIRP,-0.61757,0.091355
total,day 21,MDC1,0.59965,-0.97871
grna,day 5,IGF2BP1,-0.67654,-0.60183
grna,day 13,EIF4E3,-0.94328,1.1674
grna,day 21,ZCCHC2,1.821,0.5527
grna,day 5,MRPL9,0.26034,-0.39547
grna,day 13,GTPBP2,0.87308,0.015364
total,day 5,NOM1,0.072456,0.28431
grna,day 21,NOP9,-1.1913,0.78866
total,day 21,ST13,0.83099,-1.3589
total,day 5,NCOA5,0.86886,-0.16297
total,day 13,TYW3,1.0308,-1.0293
total,day 5,CAPRIN2,0.19152,-0.4246
grna,day 13,DUSP11,1.1527,-0.27111
total,day 13,TSEN15,-0.58966,-0.037757
grna,day 21,SMG6,-0.51622,0.074822
total,day 5,CNOT9,0.10466,-0.1157
grna,day 13,CANX,0.80726,-0.067467
total,day 13,APOBEC3H,0.92035,-0.51506
grna,day 21,SECISBP2,-0.27568,-0.61166
total,day 21,SPAG9,-1.559,2.6754
total,day 5,CAND1,0.42253,-0.46668
grna,day 21,GMPR2,-0.082958,-0.66576
grna,day 5,STAU1,-0.22557,-0.53753
total,day 5,PNPT1,-0.051934,-0.21678
grna,day 21,EIF4E1B,0.5247,1.7595
grna,day 13,PRPF4B,-0.77318,-0.54241
grna,day 5,NTPCR,0.90047,0.39092
total,day 5,KHNYN,-0.35157,0.67576
total,day 13,SMG7,-0.43565,0.25711
grna,day 21,PABPN1,-1.0161,0.35583
total,day 21,MEX3A,-0.94683,2.8757
total,day 5,MAP2,-0.24115,0.41156
total,day 13,RBM15,-0.28814,-0.028786
grna,day 13,SRSF6,-0.58733,0.18414
total,day 13,YY1,-0.41616,-0.86108
grna,day 21,DXO,1.1888,-0.52383
grna,day 5,UBE2M,-0.16074,-0.92525
grna,day 13,TRMT10B,2.5466,0.36845
total,day 13,TPT1,-0.3304,-0.64477
grna,day 21,PHF6,1.1652,1.8447
grna,day 5,LSM14A,-0.92525,-0.13463
grna,day 5,ZC3H3,-0.52041,-0.28385
total,day 5,KMT2C,0.02194,0.42395
grna,day 21,DIS3L2,1.4363,1.4403
grna,day 5,MRPL50,-0.27018,0.14106
total,day 5,EIF3M,-0.13702,-0.31642
total,day 21,NGRN,-1.2578,0.54608
grna,day 5,TBCA,-0.47728,1.7574
total,day 13,HNRNPAB,-1.5584,1.922
grna,day 5,UTP14C,1.495,-0.038507
total,day 5,NOC3L,0.74695,0.51496
grna,day 13,TSR3,-1.0967,0.34156
total,day 13,AKAP1,-0.85708,-0.78402
grna,day 21,RRP1B,-0.019456,-0.064063
total,day 5,TNS1,0.13336,0.43658
grna,day 5,TRMU,0.20232,-0.27734
grna,day 13,HNRNPA0,-0.50465,-0.4483
total,day 5,RBFOX3,0.44256,0.29266
total,day 13,SMG5,-1.4364,-0.39458
grna,day 21,SEC61B,-0.2597,1.2038
grna,day 5,ACO1,0.38343,0.077487
total,day 5,PTGES3L-AARSD1,-0.085835,0.10532
grna,day 13,PUS10,1.3686,-0.35763
total,day 21,XRN1,-0.72006,-0.46713
total,day 5,SMAD9,-0.018484,-0.27961
grna,day 13,MACF1,-0.37058,0.85096
total,day 13,RPL36A,1.1118,-0.88154
total,day 21,PCNP,0.75228,-1.4853
total,day 5,HABP4,0.47972,-0.78524
grna,day 13,RIF1,0.25804,-0.26583
grna,day 21,SRRM2,0.045435,-0.47844
total,day 21,WDR83,0.23017,-0.56704
grna,day 5,WARS2,0.031437,0.23736
total,day 5,PRPF31,-0.25103,-0.1264
grna,day 13,ALDH6A1,-0.22887,-0.33261
total,day 13,THOC7,-1.1063,-0.3063
grna,day 21,EIF4E3,-1.0163,1.5131
grna,day 13,NKTR,0.23299,0.82936
grna,day 21,ARL6IP4,-0.1443,2.0844
total,day 21,C19ORF66,0.4617,-0.8692
grna,day 5,CIRBP,-0.64826,0.45064
total,day 5,SNRNP35,0.43662,0.1168
grna,day 13,NOL11,-0.5882,-0.48304
total,day 13,FARS2,-0.06355,-0.37892
grna,day 21,TSR3,-0.5271,-0.34075
total,day 21,REXO1,-0.69214,0.028366
grna,day 5,DDX39B,-0.50939,0.63894
total,day 5,TGS1,-0.32165,0.15524
total,day 13,TFB2M,-0.96688,-0.047124
grna,day 5,GGCT,-0.46402,0.34695
total,day 13,NOS1,-0.77172,1.7693
grna,day 21,UPF1,-0.67579,-0.16312
grna,day 5,MTIF3,-0.11642,-0.49408
total,day 5,ALG13,0.10227,-0.30128
grna,day 13,BCDIN3D,0.93571,0.6261
total,day 13,LUC7L2,-0.96158,-0.201
total,day 21,PRPF40B,-1.338,0.054179
grna,day 5,TMEM263,0.1798,-0.10334
total,day 5,GNL3L,0.041253,0.48584
total,day 13,MPHOSPH6,-0.38715,-0.69329
total,day 21,PABPC1L2B,-0.36769,-1.039
grna,day 13,PEBP1,0.66738,1.4342
grna,day 21,EIF3K,-0.93811,0.079238
grna,day 5,PNO1,-0.60215,-0.33018
total,day 5,RBBP5,-0.080149,-0.080477
grna,day 5,NMT1,0.19903,0.77825
total,day 5,YARS2,0.16039,0.011803
grna,day 13,CADM1,0.28986,-0.55823
total,day 13,DARS2,-0.54041,0.10296
total,day 5,WARS2,-0.30953,0.024444
total,day 13,PHRF1,0.35451,-0.69345
grna,day 21,RTCA,0.99295,0.63447
total,day 21,GTF2F1,-0.15645,-1.2899
total,day 13,AGO3,-0.58091,1.2327
grna,day 21,PTBP2,-0.27974,0.43594
total,day 21,SECISBP2,0.90726,-1.3195
grna,day 5,NXF3,-0.43807,0.54954
grna,day 13,DARS2,-0.81836,0.051424
total,day 13,ZNFX1,1.6754,1.2444
grna,day 21,ALKBH3,-0.83211,0.7006
total,day 21,RPS19BP1,-0.81239,-1.4542
grna,day 5,TDRD12,-0.32521,0.8799
grna,day 21,CWF19L2,-0.10636,-0.57285
total,day 5,IQCG,-0.39227,-0.13406
grna,day 13,CNOT8,-0.80453,1.0046
total,day 13,NAA15,-1.1375,-1.0515
grna,day 21,PHRF1,0.02242,-0.70213
total,day 21,SMG8,-0.44141,-2.138
grna,day 5,MKRN3,1.2681,-0.026184
total,day 5,RRP1B,-0.2958,0.28258
total,day 13,NAF1,0.6704,-0.68945
grna,day 21,CHTOP,-0.34212,0.7924
grna,day 13,PNISR,0.17701,-0.04154
total,day 13,G3BP1,-0.41579,-0.56787
total,day 21,CHMP2A,-2.0304,-0.90996
grna,day 5,KMT2C,-0.23003,0.57023
total,day 5,SDS,-0.3217,-0.01082
grna,day 13,C9ORF156,-0.5349,0.93664
grna,day 21,ZRANB2,-0.50092,-0.056839
total,day 13,GOT2,-0.86425,1.2589
total,day 21,FAM32A,0.95064,-1.3455
grna,day 5,ZCCHC14,0.17545,-0.034346
total,day 5,REPIN1,0.42815,-0.2251
grna,day 13,TFB1M,-0.1847,-0.26992
total,day 13,NSRP1,1.4806,0.88987
grna,day 21,PAPOLA,-0.48326,1.0382
total,day 21,SETD1A,-0.53007,-1.8263
total,day 5,PPID,-0.35527,0.21369
total,day 5,EIF2B2,-0.27166,0.19462
grna,day 13,EMB,-0.18076,-0.66911
total,day 13,PCSK9,-0.84843,0.99592
grna,day 21,PUSL1,1.2349,-1.0327
total,day 21,PUM1,0.42282,-1.3677
grna,day 5,PES1,-0.47195,-0.42243000000000003
total,day 5,METTL4,-0.12094,0.54439
total,day 13,RPL29,-0.9733,-1.4458
grna,day 5,PDIA2,-0.3075,0.10956
total,day 5,DICER1,0.14212,0.47656
total,day 13,CNOT2,-0.44708,-0.77046
grna,day 21,CXORF57,-0.82023,0.39474
grna,day 5,UPF3A,-0.38254,0.68585
grna,day 13,TCERG1,-0.56157,0.54849
grna,day 5,RPL10A,-0.10079,-0.47769
total,day 5,PTGES3,-0.54748,0.49607
grna,day 13,HENMT1,-0.23331,0.21702
total,day 13,MRM1,-0.92292,-0.49235
grna,day 21,CELF2,-1.128,1.5285
total,day 21,PRPF39,-1.25,0.33436
total,day 5,BCDIN3D,0.52545,-0.019818
total,day 13,MRPL42,1.1444,-1.1179
total,day 21,TCERG1,-1.1338,0.71976
total,day 5,ZC3H18,0.39754,0.188
grna,day 13,ZNF207,0.069395,-0.50608
total,day 21,AFF3,1.1242,-0.78614
total,day 5,BRF1,-0.21243,-0.18394
total,day 21,TTF2,-0.02918,-0.81414
grna,day 5,SMG7,0.78137,-0.20918
total,day 5,ADAR,-0.021581,-0.30039
total,day 13,IBA57,0.46122,-0.7036
grna,day 21,RSL1D1,-0.519,-0.3193
total,day 21,ILF3,0.1752,-1.0156
grna,day 5,HLA-A,0.018748,-0.67218
grna,day 13,IPO7,-0.50529,0.26409
total,day 13,ALDOC,1.059,-0.36894
grna,day 5,TMEM214,0.095893,-0.34709
total,day 5,EIF2A,0.30438,-0.27072
grna,day 13,CTU1,0.19455,-0.71394
total,day 13,ASCC3,-0.38676,0.59239
grna,day 21,YTHDF2,-0.90081,0.78948
grna,day 5,RTCB,0.43088,-0.28612
grna,day 13,PRPF18,-0.54632,-0.83973
total,day 13,MARF1,-0.42087,2.1513
grna,day 13,ARF1,-0.017864,-0.54632
grna,day 21,UBE2N,-0.91969,-1.6078
total,day 21,UTP14C,-1.3424,0.68291
grna,day 5,CMSS1,0.57266,0.57197
total,day 13,SNRPA,-1.1891,-0.43053
grna,day 21,DDX23,-0.33942,-0.5271
total,day 21,ZNFX1,2.4104,1.7943
grna,day 5,SORBS2,0.31855,0.19099
total,day 5,STN1,0.14275,0.13849
grna,day 13,MTIF3,-0.42686,0.31896
total,day 13,MRPL55,-0.63254,-0.45285
grna,day 21,ADARB2,1.3453,-0.6632
total,day 21,MRPL9,-1.1248,-0.52529
grna,day 5,LSG1,-0.33635,0.14074
total,day 5,OSGEPL1,0.4944,-0.20634
total,day 13,RRP15,-0.6804,-1.1143
total,day 21,RANGRF,-0.74335,0.43257
grna,day 5,C17ORF85,0.94285,-0.23371
grna,day 13,ADARB1,0.21918,0.079556
total,day 13,MTHFD1,-0.84115,0.56619
total,day 21,MRPS31,0.51303,-1.4349
grna,day 5,MRPL12,-0.26636,-0.0029027
total,day 5,UPF2,0.084858,-0.18542
total,day 13,FDXACB1,-0.47902,1.2151
grna,day 21,ZCCHC17,-0.76186,1.0881
total,day 21,RNASEH2C,-0.73352,1.2194
grna,day 5,LRRFIP1,0.7019,-0.22979
total,day 13,PRDX1,-0.52241,0.54529
total,day 21,RPL29,-2.0013,-0.35455
grna,day 5,SRFBP1,0.56215,-0.25476
grna,day 13,KTN1,-0.39182,2.2922
total,day 21,HDLBP,1.8794,-0.99657
grna,day 5,NOP14,-0.10546,-0.30248
total,day 5,NGDN,0.065224,0.22118
total,day 13,GCN1,-0.74285,-0.098735
grna,day 13,LARP4,-0.42208,0.65907
total,day 13,TKT,0.34904,-0.40329
grna,day 21,HSP90B1,0.60546,-0.29034
total,day 5,ELP4,-0.041202,0.2355
grna,day 13,SLTM,1.5197,-0.7253
grna,day 21,AKAP1,-0.37459,-0.8622
grna,day 5,DHX38,0.28578,0.19749
total,day 5,SNTB1,0.33822,-0.22996
grna,day 13,KAT8,-0.67716,-0.3407
total,day 5,C2ORF15,-0.011663,0.66837
total,day 13,PTDSS1,-0.17634,-0.72269
grna,day 5,NPM3,0.26608,0.17466
total,day 5,IPO11,0.73819,-0.015744
grna,day 13,RSRC2,0.57856,-0.87651
total,day 13,HDLBP,1.2943,-0.26854
grna,day 21,MTAGBFP2,1.3921,-0.37945
grna,day 21,BUD13,-0.3343,0.74587
total,day 21,NELFE,0.03186,-1.3237
total,day 5,ELAVL4,0.14742,0.33116
grna,day 13,LIN28A,-0.59907,0.8951
total,day 13,DLD,0.04555,-0.32863
grna,day 5,SRP68,-0.19912,0.053813
total,day 5,MACF1,-0.32716,0.16774
grna,day 13,AKAP1,0.11851,-0.5137
total,day 13,WBP4,1.0065,0.02928
grna,day 5,ROCK2,-0.27193,0.10799
total,day 5,LYAR,0.23046,0.45427
grna,day 13,IFIH1,2.1171,-0.67075
total,day 13,RBM4B,1.9827,-0.96176
grna,day 21,TECR,0.048031,-0.39674
total,day 5,GFM2,0.37588,-0.13104
total,day 13,EMB,0.049741,-0.29284
total,day 21,DXO,1.6524,-0.458
grna,day 5,FKBP4,-0.46377,0.45966
grna,day 13,RPUSD1,-0.49138,0.76626
total,day 13,RNASEH1,0.90051,-0.37713
grna,day 21,PRPF39,-0.83185,0.14944
grna,day 5,PPIL3,0.6596,-0.93357
total,day 5,MRPS12,-0.18519,-0.16481
grna,day 13,AARS2,0.67874,-0.41191
grna,day 21,AIMP1,-0.060861,-0.47178
grna,day 5,CD44,-0.93357,-0.18297
grna,day 13,DIS3L2,0.90619,1.8059
total,day 13,MEX3A,-1.1152,1.8797
grna,day 21,CFAP20,-0.16864,-0.33878
grna,day 5,MTHFSD,-0.15652,-0.92593
grna,day 13,NOS2,0.97711,-0.28958
grna,day 21,TPD52L2,0.81998,-0.44824
total,day 21,DIDO1,0.51561,-0.30315
grna,day 5,EEF2,-0.16887,0.45434
total,day 5,DHX34,0.46082,0.65026
grna,day 13,TRMT2B,1.0817,1.0232
total,day 13,EPB41,-0.39387,1.2271
total,day 21,SETX,0.02111,-0.37979
grna,day 5,R3HCC1L,0.066568,0.075206
total,day 13,NXF2B,-0.28619,0.036936
grna,day 5,DHX58,1.3275,-0.30764
total,day 5,AKAP8,0.31104,-0.27634
grna,day 13,PNRC2,-0.72938,-0.69258
total,day 13,TDRD5,1.159,-0.30636
grna,day 21,SRSF5,1.4439,-0.46273
grna,day 5,PARK7,0.41638,-0.40285
total,day 5,NXF5,-0.17228,0.078704
grna,day 13,CWC22,-0.68403,-0.21028
total,day 13,FEN1,0.17338,-0.20623
grna,day 21,METTL5,-0.42832,0.36806
total,day 21,SLC4A1AP,0.88734,-0.72797
grna,day 5,STIP1,0.22503,0.33798
total,day 13,ENOX1,1.0283,0.064684
grna,day 21,ADAT3,-0.93363,0.69705
total,day 21,METTL15,1.6393,-1.9417
grna,day 5,PCBP1,-0.28099,-0.43661
total,day 5,IGHMBP2,0.25352,-0.33486
grna,day 13,EIF2A,-0.39075,0.31607
total,day 13,CAPRIN2,1.0682,-0.62196
grna,day 21,MOV10,1.9486,-0.56747
total,day 21,PIH1D2,2.626,1.6588
total,day 5,ZCRB1,-0.10265,0.12107
grna,day 13,RPL10L,1.763,-0.037478
total,day 13,NPM1,-0.94721,-0.38827
grna,day 21,NKRF,1.2668,-0.4002
total,day 21,EML4,1.701,-0.81181
total,day 5,NOB1,-0.034527,-0.21975
grna,day 13,HMGB3,-1.0083,0.56611
total,day 13,RPP40,-0.26459,-0.52733
grna,day 21,HNRNPDL,-0.19454,-0.33677
grna,day 5,DDX20,0.30033,-0.039751
grna,day 13,SLC16A3,1.7571,0.05161
total,day 13,WDR83,-0.078306,-0.072239
total,day 21,IMMT,-1.3059,1.0649
grna,day 5,SMG6,0.12883,-0.10909
total,day 5,MRPL11,0.54772,0.26356
grna,day 13,RBM26,1.7024,0.17005
grna,day 21,BARD1,-0.94893,-0.85609
total,day 21,P4HB,-0.70591,0.84524
grna,day 13,SHQ1,-0.51919,-0.29433
total,day 5,AFF2,0.010013,0.3218
grna,day 13,RNASEH2C,-0.24255,0.73667
total,day 13,MPST,1.8005,-0.24987
grna,day 21,BCCIP,-0.93654,0.22904
total,day 13,HOOK1,-0.63191,0.58567
grna,day 21,AARSD1,-0.28205,1.4941
grna,day 5,HNRNPUL2,-0.10169,0.011024
total,day 5,AHNAK,-0.21358,0.12837
grna,day 5,UBE2I,-0.50853,0.01483
total,day 5,RBM4,0.093225,0.028637
grna,day 13,RPUSD2,0.28209,0.5317
grna,day 21,GTPBP1,0.64089,-0.44862
total,day 21,BLTP2,0.68968,-0.98133
grna,day 5,MRPL34,0.20467,-0.0819
total,day 5,TRUB1,0.6804,-0.16088
grna,day 13,SAP130,1.535,-0.52288
total,day 13,NOA1,0.33603,-0.43087
grna,day 21,CLASP2,-0.58885,0.74296
total,day 21,ZFP36L1,-0.27915,2.8842
grna,day 5,EDF1,-0.16857,0.40088
grna,day 13,TARBP2,0.90099,-0.23673
total,day 13,BCCIP,-0.55424,0.21741
total,day 5,ZNF474,-0.15387,0.62433
grna,day 13,NTPCR,-0.91442,0.60776
grna,day 21,HNRNPM,-0.65828,-0.39356
grna,day 5,EIF3I,-0.23383,0.56008
grna,day 13,QTRT2,-0.033274,-0.26216
total,day 13,DHX36,-0.48624,-0.30705
total,day 5,MRPS15,0.16476,0.011598
grna,day 13,EIF2D,-0.022051,-0.047832
total,day 13,WDR4,-0.90003,0.96571
grna,day 5,GEMIN5,0.11209,-0.35457
grna,day 21,TARS3,-0.51491,0.54224000000000006
grna,day 13,ERP29,2.1141,-0.34471
grna,day 21,CWF19L1,-0.61288,0.4337
total,day 21,ZFR,-0.44224,-0.42082
grna,day 5,RO60,0.024462,-0.35523
total,day 5,RPL37A,0.12627,-0.26049
total,day 13,TRIM56,2.4441,-0.79131
total,day 21,RNASEH1,0.57944,-0.77368
grna,day 5,LBR,-0.035007,-0.67609
total,day 5,FASTKD1,-0.048757,0.58578
grna,day 13,NME1,-0.98704,-0.46534
total,day 13,MRM3,-0.31892,0.077517
grna,day 21,RNGTT,0.40695,-1.4535
total,day 5,RINT1,0.10604,0.46073
total,day 13,DDX25,2.0806,-0.42542
grna,day 21,RSRC2,0.98138,-1.0619
total,day 21,RPL36A,1.8413,-1.4613
total,day 5,ZYX,0.18176,0.24622
grna,day 13,S100A9,0.99538,1.753
total,day 13,ANXA11,-0.33743,0.43813
total,day 21,RINT1,-0.69405,-1.0835
total,day 5,EARS2,0.31836,-0.30558
grna,day 13,GLRX3,-0.56462,1.0965
grna,day 5,MARS2,0.0020913,0.27595
total,day 5,HNRNPA3,-0.10039,-0.17593
grna,day 13,REXO1,-0.69885,-0.25994
total,day 13,TRMT44,1.7575,-0.40878
grna,day 5,HINT3,0.3622,-0.074748
grna,day 21,THOC2,-0.24648,-0.39094
total,day 21,MTIF3,-0.32803,0.19733
grna,day 5,UBFD1,0.4423,-0.50235
total,day 5,IDH1,0.066433,0.16085
grna,day 13,AFF4,-0.76859,0.39724
total,day 21,P2RX7,-0.038515,-1.1907
grna,day 5,TIPARP,0.024812,1.6762
grna,day 13,SRSF5,0.88979,-0.71508
total,day 13,RBM6,-0.65958,-0.13568
grna,day 5,PFN1,-0.41997,-0.17551
total,day 5,PAPOLG,-0.060489,0.081761
total,day 13,CEP43,-0.55349,1.8682
grna,day 21,IGF2BP1,1.2776,0.2009
total,day 21,FKBP1A,0.72676,-0.78797
total,day 5,STXBP1,0.18893,-0.27486
grna,day 13,RBM27,1.1171,0.18401
grna,day 21,KIF1C,0.49058,1.2091
total,day 21,TRNT1,-1.3645,-1.3971
total,day 5,RIOK1,-0.29485,-0.14964
grna,day 13,WRAP53,-0.1473,1.5008
total,day 13,REXO1,-0.242,0.0934
grna,day 21,H4C15,0.0062664,-0.5014
grna,day 5,XPO6,0.064094,0.55366
total,day 5,MGST1,-0.23737,0.26103
total,day 13,CNBP,-0.23842,0.88703
total,day 21,C14ORF93,-0.87214,0.97144
grna,day 5,ADAT1,0.42293,-0.45663
total,day 5,HARS2,0.030152,0.42078
grna,day 13,LAGE3,1.7155,-0.69716
total,day 13,SETD1A,-0.67347,-1.1857
grna,day 5,LTA4H,0.67027,-0.38396
total,day 5,GEMIN5,0.10749,0.394
total,day 13,HNRNPA3,0.44115,-0.012053
grna,day 21,IGF2BP2,-0.34242,0.79077
total,day 21,HNRNPA3,0.7399,-0.2155
grna,day 5,LUC7L3,-0.34632,0.85561
total,day 5,HNRNPU,-0.21718,0.48302
grna,day 13,CEP43,-0.6793,1.1417
total,day 13,FTO,-0.44251,-0.80595
grna,day 21,RBM42,-0.71909,0.095528
grna,day 5,KRAS,-0.58137,0.13991
total,day 21,DYNLL1,0.78456,-1.24
grna,day 5,SSB,-0.47172,0.60773
total,day 13,MDC1,-0.48256,-0.27629
grna,day 5,UTP14A,-0.43945,-0.19909
total,day 5,MRPL48,0.23851,-0.24287
grna,day 13,RWDD4,-0.2317,1.8765
total,day 21,ARF1,-1.3181,0.045948
grna,day 5,NOL11,-0.4088,0.23565
total,day 5,DDX5,-0.39206,0.3876
grna,day 13,NARS2,-0.77384,-0.96543
total,day 13,EIF4G2,-0.68951,0.25796
grna,day 21,TNKS1BP1,1.4302,1.2809
total,day 21,POP4,-0.99675,-0.23884
total,day 5,NTPCR,0.28901,-0.248
grna,day 13,DBT,-0.36052,-0.044951
grna,day 21,MRPS15,-1.0007,0.89074
total,day 21,SMAD7,-1.1203,1.8604
grna,day 5,ANKRD17,-0.25964,1.505
grna,day 13,LOC81691,-0.30648,-0.327
total,day 13,P4HB,-1.0573,0.32553
total,day 21,MRPS36,0.63928,2.0989
total,day 5,DHX29,-0.0026862,0.37329
total,day 13,MKI67,1.5418,1.05
grna,day 21,NYNRIN,-0.31888,0.5212
total,day 21,CSDE1,-1.8146,1.2756
grna,day 5,RNPS1,-0.33997,-0.18934
total,day 5,DZIP3,0.30776,0.10812
total,day 13,PRPF39,-0.45794,0.53109
total,day 21,C12ORF65,0.43120000000000003,-0.21602
grna,day 13,ZRANB2,-0.17681,0.6823
total,day 13,NELFE,0.55378,-0.47761
grna,day 21,PDIA4,-0.84571,-0.36453
grna,day 5,ZC3H12C,0.41667,0.48161
total,day 5,GTF2F1,-0.04277,-0.081911
grna,day 13,ALKBH1,0.43861,-0.97772
grna,day 21,KAT8,-0.095913,-0.67895
total,day 21,EWSR1,-0.54461,-0.40008
grna,day 5,SUMO1,-0.20705,0.56635
grna,day 13,DNMT3B,1.6875,0.68471
total,day 21,PDIA4,0.42309,-0.26453
grna,day 13,G3BP1,0.093624,-0.38852
total,day 13,RBM42,-0.87246,0.87136
grna,day 21,RBM12B,0.092221,3.4495
total,day 21,PELO,-1.8085,-0.57405
grna,day 5,HABP4,0.1618,-0.47517
total,day 5,EZR,0.33416,-0.11791
total,day 5,NOL9,0.34253,0.30773
grna,day 13,GTF2F1,-0.095742,-0.6264
grna,day 21,METTL2A,1.3099,0.28315
total,day 21,PTMA,-0.27172,0.89477
total,day 5,ERP29,0.44944,-0.18287
grna,day 13,PTMA,-0.0035894,-0.39609
total,day 13,SSB,-0.78955,1.5176
total,day 21,ZC3HAV1L,-0.46742,0.76131
total,day 5,RSRC2,-0.072461,0.073766
grna,day 21,SRRM1,-0.25406,0.68695
grna,day 5,CELF1,-0.097056,-0.18553
total,day 5,ERF,-0.29788,-0.13641
grna,day 13,MRPL9,-0.59187,0.11851
total,day 21,POLR2J2,-0.98961,-1.697
grna,day 5,SECISBP2,0.63253,0.036945
total,day 5,HNRNPLL,-0.053278,-0.17494
grna,day 13,PRPF40B,-0.51949,-0.34324
total,day 13,SMAD4,1.2288,-0.39213
grna,day 21,PCNP,-0.57413,0.5814
grna,day 5,RPL10L,0.50583,-0.23271
grna,day 13,NONO,-0.53159,-0.01372
grna,day 21,R3HCC1L,-0.50017,0.24832
total,day 21,CLK3,1.5521,-1.0155
grna,day 13,CHTOP,-0.29292,0.39985
grna,day 21,YY1,0.22204,-0.52352
total,day 21,ATP1A1,-0.66459,-1.1908
grna,day 5,DXO,-0.3633,0.049709
total,day 5,DHX35,0.78089,-0.27365
grna,day 13,EIF1,-0.70467,1.0409
total,day 13,PPHLN1,-0.05994,-1.0405
grna,day 5,RARS2,0.26191,-0.37238
total,day 5,RBPMS,0.56685,-0.20968
total,day 13,MAPRE1,1.7271,0.8114
grna,day 21,NOC3L,-0.36096,-1.0207
total,day 21,NXF2B,-0.39999,0.91992
grna,day 5,TAGLN,0.39019,-0.43834
total,day 5,ADARB2,0.31683,-0.11085
grna,day 13,KRI1,-0.15803,-0.012259
total,day 21,PSIP1,-0.76627,2.3583
total,day 5,HYGRO,-0.12765,-0.12078
grna,day 5,HSPA1A,-0.16664,1.0112
total,day 5,TRMT2B,-0.098777,0.43356
grna,day 13,AFDN,-0.22153,1.3549
total,day 13,FAM120C,-1.185,1.5781
total,day 21,TES,1.0669,-0.30269
grna,day 5,ELF1,0.38632,0.40969
total,day 5,NDUFV3,0.029141,-0.10894
