type,day,gene,A,B
grna,day 5,RPS4X,-1.7183,-1.3775
total,day 5,RPL17,-1.3325,-1.3065
grna,day 13,MRPL37,-3.386,-0.63509
total,day 13,POLR2D,-4.7371,-3.9633
grna,day 21,CPSF1,-1.5108,-2.9433
total,day 21,MTPAP,-4.5878,-2.4736
grna,day 5,SON,-0.72645,-1.7699
grna,day 13,EXOSC8,-2.9859,-2.4156
total,day 13,SRSF3,-3.495,-4.8142
grna,day 21,RPL37,-2.0592,-2.9229
total,day 21,RAE1,-3.7093,-4.4639
grna,day 5,DHX40,-1.3999,0.15794
total,day 5,SNU13,-1.1043,-1.3796
grna,day 13,RRM1,-2.2397,-2.9321
total,day 13,RPS15A,-2.5069,-4.4579
total,day 21,POLRMT,-3.9134,-3.9532
grna,day 5,NSUN4,-0.66551,-1.2097
total,day 5,PSMB3,-0.82576,-1.7172
grna,day 13,NOM1,0.43852,-3.0098
grna,day 21,SNIP1,-1.6487,-1.6001
total,day 21,EEF1A1,-3.3211,-3.6795
grna,day 5,PSMC2,-0.96863,-1.6882
