gene,day,lfc,essential,n
CDC5L,13,-4.7061,essential,785
CDC5L,5,-0.98619,essential,785
CDC5L,21,-3.7225,essential,785
CDK11B,5,-0.47882,non-essential,1401
CDK11B,13,-2.0121000000000002,non-essential,1401
CDK11B,21,-1.5669,non-essential,1401
CDK13,5,0.14491,non-essential,1401
CDK13,21,1.6475,non-essential,1401
CDK13,13,1.3618,non-essential,1401
CDK17,21,1.6143,non-essential,1401
CDK17,13,1.2558,non-essential,1401
CDK17,5,0.28936,non-essential,1401
CDK5RAP1,5,0.37966,non-essential,1401
CDK5RAP1,13,1.2109,non-essential,1401
CDK5RAP1,21,1.816,non-essential,1401
CDK9,13,-4.6695,essential,785
CDK9,21,-3.686,essential,785
CDK9,5,-0.39827,essential,785
CDKAL1,5,-0.11417,non-essential,1401
CDKAL1,13,0.58591,non-essential,1401
CDKAL1,21,0.94111,non-essential,1401
CDKN2A,5,0.42464,non-essential,1401
CDKN2A,21,2.2321,non-essential,1401
CDKN2A,13,1.3471,non-essential,1401
CDV3,21,0.66879,non-essential,1401
CDV3,5,-0.078767,non-essential,1401
CDV3,13,0.36818,non-essential,1401
CEBPZ,13,-4.5251,essential,785
CEBPZ,21,-5.3264,essential,785
CEBPZ,5,-0.072078,essential,785
CELF1,5,0.31815,non-essential,1401
CELF1,13,0.79945,non-essential,1401
CELF1,21,1.1698,non-essential,1401
CELF2,5,-0.20878,non-essential,1401
CELF2,13,0.35126,non-essential,1401
CELF2,21,0.30699,non-essential,1401
CELF3,5,0.47674,non-essential,1401
CELF3,21,2.0575,non-essential,1401
CELF3,13,1.0642,non-essential,1401
CELF4,5,-0.41126,non-essential,1401
CELF4,13,0.20473,non-essential,1401
CELF4,21,0.72364,non-essential,1401
CELF5,21,1.3419,non-essential,1401
CELF5,13,0.81084,non-essential,1401
CELF5,5,0.049995,non-essential,1401
CELF6,5,0.58064,non-essential,1401
CELF6,21,1.3507,non-essential,1401
CELF6,13,1.266,non-essential,1401
CEP43,5,-0.24368,non-essential,1401
CEP43,13,0.99909,non-essential,1401
CEP43,21,1.5316,non-essential,1401
CFAP20,21,-1.9471,non-essential,1401
CFAP20,13,-1.4581,non-essential,1401
CFAP20,5,-0.041284,non-essential,1401
CFAP65,13,1.7575,non-essential,1401
CFAP65,21,2.6112,non-essential,1401
CFAP65,5,0.62526,non-essential,1401
CFL1,21,-1.096,essential,785
CFL1,13,0.21785,essential,785
CFL1,5,0.61086,essential,785
CGN,13,1.0428,non-essential,1401
CGN,5,0.39972,non-essential,1401
CGN,21,1.7672,non-essential,1401
CHCHD1,21,-3.9167,essential,785
CHCHD1,13,-1.9448,essential,785
CHCHD1,5,-0.030808,essential,785
CHCHD3,5,0.0058596,non-essential,1401
CHCHD3,21,0.54378,non-essential,1401
CHCHD3,13,0.27562,non-essential,1401
CHD2,13,1.204,non-essential,1401
CHD2,5,0.128,non-essential,1401
CHD2,21,1.3005,non-essential,1401
CHD3,21,2.1355,non-essential,1401
CHD3,13,1.3942,non-essential,1401
CHD3,5,0.12284,non-essential,1401
CHERP,21,-1.6396,essential,785
