Distance (mm),Absorbance,sgRNA,Treatment,nuclease
45.92,0.10271499999999999,GCN1,HHT,+ micrococcal nuclease
46.02,0.10173800000000001,GCN1,HHT,+ micrococcal nuclease
46.12,0.099169,GCN1,HHT,+ micrococcal nuclease
46.22,0.09866299999999999,GCN1,HHT,+ micrococcal nuclease
46.32,0.09746500000000001,GCN1,HHT,+ micrococcal nuclease
46.42,0.096064,GCN1,HHT,+ micrococcal nuclease
46.52,0.092425,GCN1,HHT,+ micrococcal nuclease
46.61,0.09122299999999998,GCN1,HHT,+ micrococcal nuclease
46.71,0.089597,GCN1,HHT,+ micrococcal nuclease
46.82,0.086773,GCN1,HHT,+ micrococcal nuclease
46.92,0.08473699999999999,GCN1,HHT,+ micrococcal nuclease
47.02,0.083552,GCN1,HHT,+ micrococcal nuclease
47.11,0.080444,GCN1,HHT,+ micrococcal nuclease
47.22,0.079104,GCN1,HHT,+ micrococcal nuclease
47.32,0.077088,GCN1,HHT,+ micrococcal nuclease
47.41,0.073917,GCN1,HHT,+ micrococcal nuclease
47.52,0.07129599999999998,GCN1,HHT,+ micrococcal nuclease
47.61,0.07033199999999999,GCN1,HHT,+ micrococcal nuclease
47.72,0.068652,GCN1,HHT,+ micrococcal nuclease
47.81,0.06572499999999999,GCN1,HHT,+ micrococcal nuclease
47.91,0.064118,GCN1,HHT,+ micrococcal nuclease
48.01,0.06213500000000001,GCN1,HHT,+ micrococcal nuclease
48.11,0.059821,GCN1,HHT,+ micrococcal nuclease
48.21,0.058058,GCN1,HHT,+ micrococcal nuclease
48.31,0.056051000000000004,GCN1,HHT,+ micrococcal nuclease
48.41,0.05406,GCN1,HHT,+ micrococcal nuclease
48.51,0.052759,GCN1,HHT,+ micrococcal nuclease
48.61,0.05011,GCN1,HHT,+ micrococcal nuclease
48.71,0.04962799999999999,GCN1,HHT,+ micrococcal nuclease
48.81,0.04758799999999999,GCN1,HHT,+ micrococcal nuclease
48.91,0.046679,GCN1,HHT,+ micrococcal nuclease
49.01,0.04485599999999999,GCN1,HHT,+ micrococcal nuclease
49.11,0.04417,GCN1,HHT,+ micrococcal nuclease
49.21,0.042896000000000004,GCN1,HHT,+ micrococcal nuclease
49.31,0.042228,GCN1,HHT,+ micrococcal nuclease
49.41,0.04026299999999999,GCN1,HHT,+ micrococcal nuclease
49.51,0.039611999999999994,GCN1,HHT,+ micrococcal nuclease
49.61,0.038727,GCN1,HHT,+ micrococcal nuclease
49.71,0.037256,GCN1,HHT,+ micrococcal nuclease
49.8,0.036426,GCN1,HHT,+ micrococcal nuclease
49.91,0.036051,GCN1,HHT,+ micrococcal nuclease
50.01,0.034552,GCN1,HHT,+ micrococcal nuclease
50.1,0.033959,GCN1,HHT,+ micrococcal nuclease
50.21,0.032763,GCN1,HHT,+ micrococcal nuclease
50.3,0.032267000000000004,GCN1,HHT,+ micrococcal nuclease
50.4,0.030824000000000004,GCN1,HHT,+ micrococcal nuclease
50.5,0.031021999999999994,GCN1,HHT,+ micrococcal nuclease
50.61,0.030039999999999997,GCN1,HHT,+ micrococcal nuclease
50.7,0.028924999999999992,GCN1,HHT,+ micrococcal nuclease
50.8,0.029149999999999995,GCN1,HHT,+ micrococcal nuclease
50.9,0.027977000000000002,GCN1,HHT,+ micrococcal nuclease
51,0.027689999999999992,GCN1,HHT,+ micrococcal nuclease
51.1,0.027151999999999996,GCN1,HHT,+ micrococcal nuclease
51.2,0.026415999999999995,GCN1,HHT,+ micrococcal nuclease
