sample_name,treatment,control,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,p_value,fdr,goodsgrna,reporter,annotation,priority,x
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AGO4,4,0.99789,0.99798,NA,2180,0,0.0021128,0.0076794,0.192498,15,4,1.2215,0.0076794,0.192498,4,NTC,Other,10,39
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AGO4,4,0.24544,0.39837,NA,817,1,0.1805,0.34261,NA,680,2,0.38361,0.34261,1,2,PTC,Other,10,39
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AHCYL2,4,0.96111,0.96164,NA,2060,0,0.46444,0.61305,NA,1276,2,0.25843,0.61305,1,2,NTC,Other,10,40
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AHCYL2,4,0.083195,0.18531,0.25772,439,3,0.30098,0.4587,NA,882,1,-0.49715,0.18531,0.25772,3,PTC,Other,10,40
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AHNAK,4,0.096822,0.20968,0.264661,479,3,0.93358,0.93362,NA,1946,0,-1.0234,0.20968,0.264661,3,NTC,Other,10,41
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AHNAK,4,0.40334,0.55504,NA,1092,2,0.33999,0.49603,NA,948,2,0.060115,0.49603,1,2,PTC,Other,10,41
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AIMP1,4,0.57161,0.66685,NA,1317,1,0.36656,0.51935,NA,1111,2,0.20602,0.51935,1,2,NTC,Other,10,42
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AIMP1,4,0.16581,0.32003,NA,691,2,0.47813,0.62867,NA,1193,2,-0.47459,0.32003,1,2,PTC,Other,10,42
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AIMP2,4,0.19243,0.3429,NA,732,2,0.053344,0.13329,NA,346,1,-0.51738,0.3429,1,2,NTC,Other,10,43
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AIMP2,4,0.8107,0.81548,NA,1657,1,0.41011,0.56371,NA,1070,2,0.15958,0.56371,1,2,PTC,Other,10,43
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AKAP1,4,0.4743,0.62163,NA,1228,2,0.34786,0.50187,NA,1077,2,0.10199,0.50187,1,2,NTC,Other,10,44
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AKAP1,4,0.87249,0.87295,NA,1775,0,0.45962,0.61084,NA,1160,2,0.04541,0.61084,1,2,PTC,Other,10,44
